CÜMLELER;ÇEŞİDİ
Siyah insanlar daha az zekidir.;Irkçılık
İnsanlar arasındaki ırk ayrımını desteklemek ırkçılıktır.;Irkçılık
Beyazlar daha üstün bir ırktır.;Irkçılık
İş yerinde farklı ırktan biri çalıştığında, performans düşer.;Irkçılık
Neden farklı ırklar aynı okula gidiyor? Birbirlerini kirletirler.;Irkçılık
İranlılar teröristtir.;Irkçılık
Bütün Meksikalılar mültecilerdir ve suç işlerler.;Irkçılık
Çocukları aynı okula gitmemeli, diğer ırktan öğrencilerden etkilenirler.;Irkçılık
Asyalılar matematik konusunda daha iyidir.;Irkçılık
Müslümanlar terör eylemlerini destekler.;Irkçılık
İnsanlar arasındaki renk farklılıkları, zengin bir kültür mozaiği oluşturur.;Irkçılık
Herkesin sahip olduğu yetenekler ve beceriler, etnik kökeninden bağımsız olarak değerlidir.;Irkçılık
Ağaçtan maşa, Kürt’ten paşa olmaz;Irkçılık
Ayıdan post, Kürt’ten dost olmaz;Irkçılık
 Gördün mü bir Kürt, iki sok bir dürt;Irkçılık
Siyahilerin hayatları önemlidir akımından nefret ediyorum.;Irkçılık
Karalara ölüm.;Irkçılık
Asyalılar önlerini nasıl görüyorlar.;Irkçılık
Maymun suratlı Floyd Mayweather'ın maçı var bu gece.;Irkçılık
Bu aptal zenciler ne zaman pamuk tarlalarına geri dönecekler.;Irkçılık
Köpek yiyen pis çekikler.;Irkçılık
Ancak aptal bir siyahi kadın iki kez tecavüze uğrar.;Irkçılık
Siyah insanlar niye okuma yazma bilmiyorlar ki ?;Irkçılık
Çinli virüslerinden bıktık be.;Irkçılık
Gördüğüm en beyaz danstı.;Irkçılık
Varoş semtlerde kapüşonlu maymunlar her yerde.;Irkçılık
Keşke polisler şu negroların ensesine basmaya devam etse.;Irkçılık
Suriyeli şerefsizler arabamın tekerini kesmiş.;Irkçılık
Yahudiler kadar cimri bir ırk görmedim.;Irkçılık
Ne zaman bir arap görsem her an ALLAHU AKBAR!! diyip patlayacak diye korkuyorum.;Irkçılık
Tüm ingilizler bir diş doktoruna görünmeli bence.;Irkçılık
Filistinli teröristlerin kafasını eziceksin.;Irkçılık
Pakistanlılar çocukları canlı bomba olarak yetiştiriyorlar.;Irkçılık
Fransızlar balık gibi kokuyor.;Irkçılık
Asyalılara bir de akıllı diyorlar hadi ordan onlar köpek yemeye devam etsin.;Irkçılık
Köle ticareti geri gelsin böylelikle bu siyah farelerden kurtuluruz.;Irkçılık
Beyaz adamlar kendini ne sanıyor böyle.;Irkçılık
Japon kadınlar beyaz erkeğin her dediğini yapar diye duydum.;Irkçılık
Tüm varoş zencileri hapishaneye tıkın.;Irkçılık
Keşke tüm nazi kılıklı almanlar kendilerini vursa;Irkçılık
Hindistanlı bir arkadaşım var ve çok kötü kokuyor.;Irkçılık
Yahudi komşumla tanışınca Hitler'in haklı olduğunu anladım.;Irkçılık
Araplara  H A Y I R!!!;Irkçılık
Meksikalılar anca tuvalet temizlemekten anlar.;Irkçılık
Siyahilerin haklarım dediği şeyi bile beyaz adam verdi.;Irkçılık
Ed Sheeran gibi kızıl erkekler neden bu kadar ezik duruyor.;Irkçılık
Vietnamlı şerefsizlerin hepsini yakmak lazımdı.;Irkçılık
İtalyanlar ve o aptal mimikleri.;Irkçılık
"Klasik bir siyahi geleneği "" Karpuz ve Kfc"".";Irkçılık
Meksikalı göçmenler bu ülkenin geleceğini tehlikeye atıyor.;Irkçılık
Yine afgan yine bir tecavüz.;Irkçılık
Bu maymunların kökünü kazıyacaksın.;Irkçılık
Corona hep bu yarasa yiyen sarı pislikler yüzünden ortaya çıktı.;Irkçılık
Bu beyazlar yemeklerine baharat atmaktan neden bu kadar korkuyor haha.;Irkçılık
Lazların inadından bıktım.;Irkçılık
Zavallı maymunlar içecek su bile bulamıyorlar.;Irkçılık
KKK geri gelsin.;Irkçılık
Rus turistler toplumun ahlakını bozuyor.;Irkçılık
Maske takacağıma bir asyalının kafasını koparırım.;Irkçılık
Köle sahibi olmak seni ırkçı yapmaz.;Irkçılık
NEEEEGGGGGROOOOO işte sonunda söyledim.;Irkçılık
Tamam beyaz oğlan hadi işine.;Irkçılık
Tabi ki de hırsız siyahiydi.;Irkçılık
Zavallı çocuklar neredeyse beyazlar kadar yetenekliler.;Irkçılık
Kızılderililer gibi nara atmayı kes.;Irkçılık
Siyahi kadınlarla kim çıkar ki çok çirkinler.;Irkçılık
Beyazların hepsi ırkçıdır.;Irkçılık
Siyahların kültürü esrar ve kızarmış tavuktan ibaret.;Irkçılık
Güzel bir Cuma günü zencileri vuruyor ve keyfime bakıyorum.;Irkçılık
Afganından da suriyelilesinden de bıktık.;Irkçılık
Türkler çok barbarlar.;Irkçılık
Irkçı biri gibi gözükmek istemem ama bu siyah NBA oyuncuları niye bu kadar salak.;Irkçılık
Yılbaşında tek bir dileğim var o da tüm bu siyahilerin hayatı değerlidir saçmalığının bitmesi.;Irkçılık
Kayserililer hep üçkağıtçı oluyorlar.;Irkçılık
İsrailli her kim varsa onların hepsini lanetliyorum.;Irkçılık
Korelilerin o aptal Kpop gruplarından nefret ediyorum.;Irkçılık
Baban nerde seni aptal zenci ?;Irkçılık
Beyazlar rap yapmasın.;Irkçılık
Müslümanları uçağa almamak lazım bir 9/11 daha yaşanmasını istemiyorum.;Irkçılık
Hristiyanlar aynı yedikleri domuz gibi gözüküyorlar.;Irkçılık
Orta doğu denince aklıma İşid geliyor.;Irkçılık
Avrupalı gevurlar bu ülkenin milli değerlerini hiçe sayıyorlar.;Irkçılık
Yunan tohumu şerefsiz.;Irkçılık
Meksika duvarına mayın döşemek lazım sırf bu tuvalet temizlikçileri ülkemize girmesin diye.;Irkçılık
Bir asyalıyla afrikalının tek farkı ten rengi ikisi de bu ülkeyi mahvediyor.;Irkçılık
Japonlara attığımız gibi çinlilere de bir atom bombası atsaydık coronayla uğraşmak zorunda kalmazdık.;Irkçılık
Uyduruk çin malı.;Irkçılık
Tüm beyazlar ırkçı ve tecavüzcüdür.;Irkçılık
Bu suriyelilerin ağzını burnunu kırmak lazım.;Irkçılık
İngilizlerin kültürü yok.;Irkçılık
Ruslar kadar itici ve soğuk bir millet yok.;Irkçılık
Çingeneden adam olmaz.;Irkçılık
Fransızlar biz öğretene kadar tuvaletin ne olduğunu bilmiyordu.;Irkçılık
Türkler Almanya'yı 3. dünya ülkesine çevirdi.;Irkçılık
Müslüman bir ülkede kiliselerin kapanması lazım.;Irkçılık
Bu negrolar kafadan kırık oluyor.;Irkçılık
Siyahi bir kadının hamile olduğunu tamponundaki pamuğa bakarak anlayabilirsin.;Irkçılık
Meksikanın olimpik bir takımı yok çünkü hepsi koşup, atlayıp ve yüzüp ülkemize giriyorlar.;Irkçılık
Kürtler'in hepsi terörist.;Irkçılık
Adanalılar anca güneşe sıksınlar.;Irkçılık
Ege şivesi kadar salakça bir şive yok.;Irkçılık
Ermenilerin ve yunanların hepsini kurşuna dizmek lazım.;Irkçılık
Eskişehirlilerin hepsi ayyaş.;Irkçılık
Vanlılar çok kıro oluyor.;Irkçılık
Ankaralılar çok kaba oluyor.;Irkçılık
Bu hamsi kafalar bu sene şampiyon olamayacaklar.;Irkçılık
Arapları bu ülkede istemiyoruz.;Irkçılık
Batının kültürü yok yiğenim onlar anca domuz yesinler.;Irkçılık
Keşke Konya yok olsa da kurtulsak bu tiplerden.;Irkçılık
Pirinç tarlalarında çalışan sarı suratlı canavarlar getirdi bu hastalıkları.;Irkçılık
Açlık Oyunları filmini afrikada çeksinler.;Irkçılık
Zenciler sadece saat satmasını bilir.;Irkçılık
Bu siyahi hayatları önemlidir akımını destekleyen serserileri afrikaya sürmek lazım.;Irkçılık
Beyazlar dans etmeyi asla öğrenemeyecekler.;Irkçılık
Tüm niggaları pamuk tarlasına atın.;Irkçılık
Mc Dondals hep n1ggalarla dolu.;Irkçılık
 Ku Klux Klan gelse de şu niggerları öldürse;Irkçılık
Nigg3rlar hırsızlıkta ve yağmada bir numara.;Irkçılık
Irak ve İran diyince aklıma hep canlı bombalar geliyor.;Irkçılık
Nazileri seviyorum.;Irkçılık
Yabancı sevme hastalığı gittikçe artıyor.;Irkçılık
Siyahiler ilkel.;Irkçılık
